product_id,description,unit_price,unit_original_price,unit_min_price,details,logo_url,mercado,uf,city,neighborhood,merchant_id
b3242055-7de9-4870-bd96-0e99adfb32a1,Bebida Láctea Uht Betânia Chocolate 1l,9.19,,9.19,Caixa 1l,820af392-002c-47b1-bfae-d7ef31743c7f/202210180056_kzxbnsd0d4.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
3e3c9db7-131b-4e08-8da0-b968186d7922,Creme de Leite Betânia 200g,4.39,,4.39,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180058_z5cpposrkl.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
0699ce91-712a-417e-bea9-6f85910376c5,Leite Uht Semidesnatado Camponesa Embalagem 1l,4.84,,4.84,Unidade 1l,820af392-002c-47b1-bfae-d7ef31743c7f/202307061208_gjy74dtrm4n.jpg,Atacadão - Betim,MG,Betim,Chácaras,242eed33-0dad-4a16-8938-a35f8296d691
80a2258e-aee2-4d83-9934-4922ebf3e0d7,Leite em Pó Camponesa Integral Embalagem 400g,16.63,,16.63,Embalagem 400g,820af392-002c-47b1-bfae-d7ef31743c7f/202307072108_dssn4o4yivo.jpg,Atacadão - Betim,MG,Betim,Chácaras,242eed33-0dad-4a16-8938-a35f8296d691
a4f8f886-64a1-4a6e-8332-b75118b7ea65,Leite em Pó Integral Instantâneo Camponesa 750g,31.86,,31.86,Embalagem 750g,820af392-002c-47b1-bfae-d7ef31743c7f/202307061201_gn1u0hwqq0i.jpg,Atacadão - Betim,MG,Betim,Chácaras,242eed33-0dad-4a16-8938-a35f8296d691
8710a8aa-6388-49d6-bb43-e679047e0cf5,Manteiga com Sal Betânia 200g,17.90,,17.90,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180529_dz12g4egdm.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
79e5d82c-d346-4c4b-8f2c-61684aa76fd5,Manteiga com Sal Betânia 500g,36.50,,36.50,Embalagem 500g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180530_t7d7gienn3b.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
4297a8ed-45b8-49f7-a793-e8d23615f3fb,Requeijão Cremoso Betânia 200g,9.39,,9.39,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180112_gojjiqhcthc.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
97ffe4c3-b08e-4338-acca-1fce1dd6eccc,Requeijão Cremoso Light Betânia 200g,9.39,,9.39,Embalagem 200g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180141_1fiagohjf1gj.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
be3580bd-98bf-4465-a2fc-f067bff66e64,Requeijão Cremoso Tradicional Betânia 400g,17.79,,17.79,Embalagem 400g,820af392-002c-47b1-bfae-d7ef31743c7f/202210200210_wdtbthdm33.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
0cb0bd1f-01b6-410b-85ac-be2a21b12963,Requeijão Culinário Betânia 400g,16.49,,16.49,Embalagem 400g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180531_b8tvri32cu.jpg,Pão de Açúcar - Dom Severino,PI,Teresina,Verde Lar,62c922d2-4bb2-4dac-87ab-deb680d6e357
8705049d-6e5c-41da-92ff-b8061c358707,Bebida Láctea Kids de Chocolate Betânia 200ml,1.79,,1.79,Embalagem 200ml,820af392-002c-47b1-bfae-d7ef31743c7f/202210180055_v1355kygq7i.jpg,Barateiro - Boa Viagem,PE,Jaboatão dos Guararapes,Zumbi do Pacheco,fe1f83d7-f87c-4a29-9863-ac2da13befb8
f65bbc86-1fdd-41a7-ac64-010ba806ccb4,Bebida Láctea Uht Betânia Chocolate 1l,9.19,,9.19,Caixa 1l,820af392-002c-47b1-bfae-d7ef31743c7f/202210180056_kzxbnsd0d4.jpg,Barateiro - Boa Viagem,PE,Jaboatão dos Guararapes,Zumbi do Pacheco,fe1f83d7-f87c-4a29-9863-ac2da13befb8
42782713-5d13-44c7-8af6-45ccae4eb81b,Bat Gut Sabor Ameixa Betânia 900g,6.60,,6.60,Embalagem 900g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180622_isvkegkr5z.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
4106b40e-5490-4713-86db-b30586f26247,Bebida Láctea Betânia Graviola 900g,6.60,,6.60,Unidade 900g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180542_o2nobduje3l.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
0dd5196c-e636-417c-99e9-b08a77e3906e,Bebida Láctea de Morango Betânia 540g,4.71,5.55,4.71,Bandeja 540g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180101_2p9wtsjo284.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
68977ace-20cd-409a-bf3f-e2cc7b3a8cb8,Iogurte Betânia Coco 540g,4.71,5.55,4.71,Bandeja 540g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180101_v6hshgzmg3d.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
9c1d1082-a88e-4a0a-abda-d3f900d3b3a4,Iogurte Betânia Morango Bandejão 720g Leve 8 Pague 7,6.29,,6.29,Bandeja 720g,820af392-002c-47b1-bfae-d7ef31743c7f/202210190030_atr4d4rotie.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
f4ab1970-2b16-4696-b806-3a6c93504a0c,Iogurte Bicamada de Morango Betânia 150g,4.04,,4.04,Embalagem 150g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180105_h2zjnd6w29h.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
82e206e5-c3ac-4788-9436-4f2d2918f4ce,Iogurte Desnatado de Mel Betânia 900g,11.43,,11.43,Embalagem 900g,820af392-002c-47b1-bfae-d7ef31743c7f/202210180622_kvqo4lwn1wb.jpg,Assaí - Feira de Santana,BA,Feira de Santana,Parque José Martins Campelo,5cba5a63-3d4a-43b2-980c-3c222cca54be
